ts	class	result	tests	dur_s	cost_usd	srcpath
2026-06-20T21:40:51	BTreeNodeKinds	PORTED	tests:SKIP	71	0.27637339999999994	orig_src/GPL/DMG/src/dmg/java/mobiledevices/dmg/btree/BTreeNodeKinds.java
2026-06-21T07:23:05	BTreeTypes	PORTED	tests:SKIP	102	0.3916202	orig_src/GPL/DMG/src/dmg/java/mobiledevices/dmg/btree/BTreeTypes.java
2026-06-21T07:24:42	DecmpfsCompressionTypes	PORTED	tests:SKIP	91	0.3383565	orig_src/GPL/DMG/src/dmg/java/mobiledevices/dmg/decmpfs/DecmpfsCompressionTypes.java
2026-06-21T07:26:30	DecmpfsConstants	PORTED	tests:SKIP	102	0.33697610000000006	orig_src/GPL/DMG/src/dmg/java/mobiledevices/dmg/decmpfs/DecmpfsConstants.java
2026-06-21T07:27:41	DecmpfsStates	PORTED	tests:SKIP	64	0.2717037	orig_src/GPL/DMG/src/dmg/java/mobiledevices/dmg/decmpfs/DecmpfsStates.java
2026-06-21T07:39:05	GBinaryReader	PORTED	tests:SKIP	678	2.316829099999999	orig_src/GPL/DMG/src/dmg/java/mobiledevices/dmg/ghidra/GBinaryReader.java
2026-06-21T07:44:33	GByteProvider	PORTED	tests:SKIP	322	1.0677292999999999	orig_src/GPL/DMG/src/dmg/java/mobiledevices/dmg/ghidra/GByteProvider.java
2026-06-21T07:46:13	GConv	PORTED	tests:SKIP	95	0.3550375000000001	orig_src/GPL/DMG/src/dmg/java/mobiledevices/dmg/ghidra/GConv.java
2026-06-21T07:50:01	GDataConverter	PORTED	tests:SKIP	223	0.9405958	orig_src/GPL/DMG/src/dmg/java/mobiledevices/dmg/ghidra/GDataConverter.java
2026-06-21T07:52:28	GDataConverterBE	PORTED	tests:SKIP	141	0.5794564000000001	orig_src/GPL/DMG/src/dmg/java/mobiledevices/dmg/ghidra/GDataConverterBE.java
2026-06-21T07:54:42	GDataConverterLE	PORTED	tests:SKIP	128	0.5200953	orig_src/GPL/DMG/src/dmg/java/mobiledevices/dmg/ghidra/GDataConverterLE.java
2026-06-21T07:57:07	GFileUtilityMethods	PORTED	tests:SKIP	140	0.5163023	orig_src/GPL/DMG/src/dmg/java/mobiledevices/dmg/ghidra/GFileUtilityMethods.java
2026-06-21T08:04:48	GRandomAccessFile	PORTED	tests:SKIP	455	1.1022355999999998	orig_src/GPL/DMG/src/dmg/java/mobiledevices/dmg/ghidra/GRandomAccessFile.java
2026-06-21T08:08:30	GStringUtilities	PORTED	tests:SKIP	216	0.5863687999999999	orig_src/GPL/DMG/src/dmg/java/mobiledevices/dmg/ghidra/GStringUtilities.java
2026-06-21T08:10:18	GSystemUtilities	PORTED	tests:SKIP	102	0.4177945999999999	orig_src/GPL/DMG/src/dmg/java/mobiledevices/dmg/ghidra/GSystemUtilities.java
2026-06-21T08:13:51	DmgInputStream	PORTED	tests:SKIP	207	0.7871617000000002	orig_src/GPL/DMG/src/dmg/java/mobiledevices/dmg/reader/DmgInputStream.java
2026-06-21T08:15:28	XattrConstants	PORTED	tests:SKIP	91	0.36848729999999996	orig_src/GPL/DMG/src/dmg/java/mobiledevices/dmg/xattr/XattrConstants.java
2026-06-21T08:18:15	AccessSpec	PORTED	tests:SKIP	161	0.5876609999999999	orig_src/Ghidra/Debug/AnnotationValidator/src/main/java/ghidra/util/database/annotproc/AccessSpec.java
2026-06-21T08:19:26	ValStr	PARK	tests:NA	65	0.1753248	orig_src/Ghidra/Debug/Debugger-api/src/main/java/ghidra/debug/api/ValStr.java
2026-06-21T08:19:59	ActionSource	PARK	tests:NA	28	0.1115173	orig_src/Ghidra/Debug/Debugger-api/src/main/java/ghidra/debug/api/action/ActionSource.java
2026-06-21T08:20:31	DisassemblyResult	PARK	tests:NA	27	0.1130107	orig_src/Ghidra/Debug/Debugger-api/src/main/java/ghidra/debug/api/platform/DisassemblyResult.java
2026-06-21T08:21:48	ProgressListener	PARK	tests:NA	72	0.22932389999999997	orig_src/Ghidra/Debug/Debugger-api/src/main/java/ghidra/debug/api/progress/ProgressListener.java
2026-06-21T08:22:44	TargetPublicationListener	PARK	tests:NA	50	0.1380018	orig_src/Ghidra/Debug/Debugger-api/src/main/java/ghidra/debug/api/target/TargetPublicationListener.java
2026-06-21T08:23:40	RemoteParameter	PARK	tests:NA	51	0.16736099999999998	orig_src/Ghidra/Debug/Debugger-api/src/main/java/ghidra/debug/api/tracermi/RemoteParameter.java
2026-06-21T08:24:38	TraceRmiError	PARK	tests:NA	53	0.16447879999999998	orig_src/Ghidra/Debug/Debugger-api/src/main/java/ghidra/debug/api/tracermi/TraceRmiError.java
2026-06-21T08:25:24	IsfErrorException	PARK	tests:NA	41	0.1518974	orig_src/Ghidra/Debug/Debugger-isf/src/main/java/ghidra/dbg/isf/IsfErrorException.java
2026-06-21T08:27:06	IsfDataTypeNull	PARK	tests:NA	97	0.2515167	orig_src/Ghidra/Debug/Debugger-isf/src/main/java/ghidra/program/model/data/ISF/IsfDataTypeNull.java
2026-06-21T08:27:55	IsfLinuxOS	PARK	tests:NA	44	0.20454509999999998	orig_src/Ghidra/Debug/Debugger-isf/src/main/java/ghidra/program/model/data/ISF/IsfLinuxOS.java
