reason	mode	rem	lines	module	path
descoped	struct	3	117	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/MDContext.java
descoped	struct	3	95	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/MDDotSeparatedItem.java
descoped	struct	3	110	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/MDEncodedNumber.java
descoped	struct	1	65	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/MDException.java
descoped	struct	4	78	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/MDMangGhidra.java
descoped	struct	1	212	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/MDMangParseInfo.java
descoped	struct	2	32	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/MDMangVS2013.java
descoped	struct	1	83	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/MDOutputOptions.java
descoped	struct	3	106	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/MDParsableItem.java
descoped	struct	3	78	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/MDSignedEncodedNumber.java
descoped	struct	4	314	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/MDString.java
descoped	struct	3	166	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/MDType.java
descoped	struct	2	33	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/datatype/MDCharDataType.java
descoped	struct	2	33	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/datatype/MDDoubleDataType.java
descoped	struct	2	33	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/datatype/MDFloatDataType.java
descoped	struct	2	33	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/datatype/MDIntDataType.java
descoped	struct	2	33	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/datatype/MDLongDataType.java
descoped	struct	2	33	demangler	Ghidra/Features/MicrosoftDmang/src/main/java/mdemangler/datatype/MDLongDoubleDataType.java
