verdict	convention	pattern	dyn_uses	class	java_kind	concrete_impls	why	sample_sites
fix	STRUCT	P1	325	TokenPattern	class	0	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/decompiler/slghsymbol/context_symbol.rs:76 ghidra-rs/src/decompiler/slghsymbol/name_symbol.rs:86 ghidra-rs/src/decompiler/slghsymbol/value_map_symbol.rs:89
fix	STRUCT	P3	297	AssemblyResolvedPatterns	interface	2	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/app/seam_stubs.rs:515 ghidra-rs/src/app/plugin/assembler/assembly_selector.rs:91 ghidra-rs/src/app/plugin/assembler/assembly_selector.rs:92
fix		P1	290	RegisterValue	class	0	Java is a class, not an interface -- use the concrete type	ghidra-rs/src/program/seam_stubs.rs:862 ghidra-rs/src/program/seam_stubs.rs:876 ghidra-rs/src/program/seam_stubs.rs:876
fix	STRUCT	P5	270	AssemblyResolution	interface	4	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/app/seam_stubs.rs:541 ghidra-rs/src/app/seam_stubs.rs:544 ghidra-rs/src/app/plugin/assembler/assembly_semantic_exception.rs:78
fix	STRUCT	P5	263	Parameter	interface	7	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/program/database/program_compiler_spec.rs:199 ghidra-rs/src/program/database/function/function_db.rs:744 ghidra-rs/src/program/database/function/function_db.rs:793
fix	STRUCT	P1	200	VariableStorage	class	0	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/program/seam_stubs.rs:118 ghidra-rs/src/program/seam_stubs.rs:119 ghidra-rs/src/program/seam_stubs.rs:121
fix	STRUCT	P3	194	AddressFactory	interface	3	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/program/database/program_db.rs:82 ghidra-rs/src/program/database/program_address_factory.rs:51 ghidra-rs/src/program/database/program_address_factory.rs:183
fix	STRUCT	P2	192	ExternalLocation	interface	1	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/program/database/symbol/code_symbol.rs:14 ghidra-rs/src/program/database/symbol/code_symbol.rs:82 ghidra-rs/src/program/database/symbol/code_symbol.rs:432
fix	STRUCT	P5	170	TraceReference	interface	4	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/trace/database/symbol/abstract_db_trace_symbol.rs:263 ghidra-rs/src/trace/database/symbol/abstract_db_trace_symbol.rs:266 ghidra-rs/src/trace/database/symbol/abstract_db_trace_symbol.rs:429
fix	STRUCT	P1	163	BinaryReader	class	0	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/app/util/bin/leb128_info.rs:11 ghidra-rs/src/app/util/bin/leb128_info.rs:37 ghidra-rs/src/app/util/bin/leb128_info.rs:43
fix	STRUCT	P3	159	CompilerSpec	interface	2	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/program/database/program_compiler_spec.rs:235 ghidra-rs/src/program/database/function/function_manager_db.rs:562 ghidra-rs/src/program/model/lang/language_version_exception.rs:371
fix	STRUCT	P5	149	Encoder	interface	4	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/program/seam_stubs.rs:1214 ghidra-rs/src/program/seam_stubs.rs:1559 ghidra-rs/src/program/seam_stubs.rs:1575
fix	ITER	P5	148	CodeUnitIterator	interface	5	decided ITER: becomes a type implementing std::iter::Iterator	ghidra-rs/src/program/seam_stubs.rs:913 ghidra-rs/src/program/seam_stubs.rs:913 ghidra-rs/src/program/database/listing_db.rs:101
fix	STRUCT	P1	142	PrototypeModel	class	0	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/program/database/program_compiler_spec.rs:156 ghidra-rs/src/program/database/program_compiler_spec.rs:160 ghidra-rs/src/program/database/program_compiler_spec.rs:164
fix	ITER	P5	141	RecordIterator	interface	17	decided ITER: becomes a type implementing std::iter::Iterator	ghidra-rs/src/framework/db/table.rs:233 ghidra-rs/src/framework/db/table.rs:242 ghidra-rs/src/program/database/overlay_space_db_adapter.rs:52
fix	ITER	P5	118	DataIterator	interface	9	decided ITER: becomes a type implementing std::iter::Iterator	ghidra-rs/src/program/database/listing_db.rs:211 ghidra-rs/src/program/database/listing_db.rs:214 ghidra-rs/src/program/database/listing_db.rs:221
fix	ITER	P5	116	FunctionIterator	interface	4	decided ITER: becomes a type implementing std::iter::Iterator	ghidra-rs/src/program/database/listing_db.rs:461 ghidra-rs/src/program/database/listing_db.rs:464 ghidra-rs/src/program/database/listing_db.rs:467
fix	STRUCT	P3	116	TraceSymbol	interface	3	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/trace/database/symbol/abstract_db_trace_symbol_single_type_view.rs:620 ghidra-rs/src/trace/database/symbol/db_trace_namespace_symbol.rs:211 ghidra-rs/src/trace/model/symbol/trace_label_symbol_view.rs:269
fix	STRUCT	P3	115	InstructionPrototype	interface	3	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/program/seam_stubs.rs:884 ghidra-rs/src/program/database/listing_db.rs:297 ghidra-rs/src/program/database/code/prototype_manager.rs:58
fix	ITER	P5	108	AddressRangeIterator	interface	15	decided ITER: becomes a type implementing std::iter::Iterator	ghidra-rs/src/program/model/address/address_set.rs:18 ghidra-rs/src/program/model/address/address_set.rs:19 ghidra-rs/src/program/model/address/address_set.rs:20
fix	STRUCT	P5	107	DataTypeComponent	interface	6	decided STRUCT: becomes the concrete type; there is nothing to dispatch over	ghidra-rs/src/program/database/data/composite_db.rs:60 ghidra-rs/src/program/database/data/composite_db.rs:113 ghidra-rs/src/program/database/data/composite_db.rs:401
