class	fanin	path
Address	3331	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/address/Address.java
Program	3156	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/listing/Program.java
TaskMonitor	2337	Ghidra/Framework/Utility/src/main/java/ghidra/util/task/TaskMonitor.java
DataType	2054	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/DataType.java
Msg	1831	Ghidra/Framework/Utility/src/main/java/ghidra/util/Msg.java
CancelledException	1712	Ghidra/Framework/Utility/src/main/java/ghidra/util/exception/CancelledException.java
DataTypeManager	1523	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/DataTypeManager.java
Function	1496	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/listing/Function.java
AddressSetView	1409	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/address/AddressSetView.java
AddressSpace	1387	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/address/AddressSpace.java
StructureDataType	1380	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/StructureDataType.java
CategoryPath	1351	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/CategoryPath.java
Structure	1340	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/Structure.java
DataOrganization	1312	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/DataOrganization.java
DataTypeComponent	1304	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/DataTypeComponent.java
Pointer	1291	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/Pointer.java
ByteDataType	1289	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/ByteDataType.java
PointerDataType	1288	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/PointerDataType.java
TypeDef	1280	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/TypeDef.java
Composite	1279	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/Composite.java
Dynamic	1279	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/Dynamic.java
DataUtilities	1276	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/data/DataUtilities.java
