status	priority	score	fanin	class	module	path	signals
TODO	4289.6	386.8	1009	Listing	program	src/program/model/listing/listing.rs	dyn=192,getset_pairs=2
TODO	2848.7	198.1	1338	Function	program	src/program/model/listing/function.rs	dyn=93,getset_pairs=12
TODO	2513.6	160.0	1471	DataTypeManager	program	src/program/model/data/data_type_manager.rs	dyn=78,getset_pairs=4
TODO	1981.0	94.2	2003	DataType	program	src/program/model/data/data_type.rs	dyn=44,getset_pairs=6
TODO	1631.4	125.2	1203	ProgramBasedDataTypeManager	program	src/program/model/data/program_based_data_type_manager.rs	dyn=60,getset_pairs=5
TODO	1401.3	106.0	1222	Category	program	src/program/model/data/category.rs	dyn=52,clone/100L=1.0,getset_pairs=1
TODO	987.2	80.0	1134	Data	program	src/program/model/listing/data.rs	dyn=39,getset_pairs=2
TODO	965.7	74.0	1205	DataTypeManagerChangeListener	program	src/program/model/data/data_type_manager_change_listener.rs	dyn=37
TODO	842.4	60.3	1297	Structure	program	src/program/model/data/structure.rs	dyn=30
TODO	790.1	60.5	1206	ArrayStringable	program	src/program/model/data/array_stringable.rs	dyn=30
TODO	780.1	71.5	991	ProgramContext	program	src/program/model/listing/program_context.rs	dyn=34,getset_pairs=3
TODO	726.3	54.2	1240	Composite	program	src/program/model/data/composite.rs	dyn=26,getset_pairs=2
TODO	722.2	55.6	1199	IntegerDataTypeTest	program	src/program/model/data/integer_data_type_test.rs	dyn=20,unwrap/100L=15.6
TODO	654.5	50.0	1209	DynamicDataType	program	src/program/model/data/dynamic_data_type.rs	dyn=25
TODO	648.8	49.6	1208	ParameterDefinition	program	src/program/model/data/parameter_definition.rs	dyn=23,getset_pairs=3
TODO	629.9	58.0	986	ProgramModule	program	src/program/model/listing/program_module.rs	dyn=28,getset_pairs=2
TODO	626.9	54.0	1061	CodeUnit	program	src/program/model/listing/code_unit.rs	dyn=24,getset_pairs=4,unwrap/100L=1.5
TODO	570.5	51.4	1010	Variable	program	src/program/model/listing/variable.rs	dyn=24,getset_pairs=3
TODO	559.2	48.5	1053	Instruction	program	src/program/model/listing/instruction.rs	dyn=21,getset_pairs=6
TODO	453.9	34.0	1235	Array	program	src/program/model/data/array.rs	dyn=17
TODO	429.7	33.0	1202	AnnotationHandler	program	src/program/model/data/annotation_handler.rs	dyn=16,getset_pairs=1
TODO	395.7	30.0	1219	FunctionDefinition	program	src/program/model/data/function_definition.rs	dyn=13,getset_pairs=4
TODO	366.0	28.0	1207	CompositeInternal	program	src/program/model/data/composite_internal.rs	dyn=14
TODO	362.4	77.1	370	DomainFile	framework	src/framework/model/domain_file.rs	dyn=38,getset_pairs=1
TODO	356.4	33.0	980	Parameter	program	src/program/model/listing/parameter.rs	dyn=15,getset_pairs=3
TODO	339.3	30.0	1031	BinaryReader	app	src/app/util/bin/binary_reader.rs	dyn=10,rc_refcell=3,getset_pairs=1
TODO	334.2	24.5	1264	DataTypeComponent	program	src/program/model/data/data_type_component.rs	dyn=11,getset_pairs=2
