path	class	kind	shape	rule	confidence	subtypes	why
GPL/DMG/src/dmg/java/mobiledevices/dmg/btree/BTreeHeaderRecord.java	BTreeHeaderRecord	class	struct	R14a-concrete-leaf	hard	0	concrete Java `class` that nothing extends
GPL/DMG/src/dmg/java/mobiledevices/dmg/btree/BTreeHeaderRecordAttributes.java	BTreeHeaderRecordAttributes	class	module	R7-statics-holder	hard	0	3 static field(s), no instance state and no instance methods
GPL/DMG/src/dmg/java/mobiledevices/dmg/btree/BTreeMapRecord.java	BTreeMapRecord	class	struct	R14a-concrete-leaf	hard	0	concrete Java `class` that nothing extends
GPL/DMG/src/dmg/java/mobiledevices/dmg/btree/BTreeNodeDescriptor.java	BTreeNodeDescriptor	class	struct	R14b-concrete-one-subclass	hard	1	concrete Java `class` with a single subclass -- inheritance for reuse; port it as a struct and let the subclass embed it
GPL/DMG/src/dmg/java/mobiledevices/dmg/btree/BTreeNodeKinds.java	BTreeNodeKinds	class	module	R7-statics-holder	hard	0	4 static field(s), no instance state and no instance methods
GPL/DMG/src/dmg/java/mobiledevices/dmg/btree/BTreeNodeRecord.java	BTreeNodeRecord	class	struct	R14a-concrete-leaf	hard	0	concrete Java `class` that nothing extends
GPL/DMG/src/dmg/java/mobiledevices/dmg/btree/BTreeRootNodeDescriptor.java	BTreeRootNodeDescriptor	class	struct	R14a-concrete-leaf	hard	0	concrete Java `class` that nothing extends
GPL/DMG/src/dmg/java/mobiledevices/dmg/btree/BTreeTypes.java	BTreeTypes	class	module	R7-statics-holder	hard	0	3 static field(s), no instance state and no instance methods
GPL/DMG/src/dmg/java/mobiledevices/dmg/btree/BTreeUserDataRecord.java	BTreeUserDataRecord	class	struct	R14a-concrete-leaf	hard	0	concrete Java `class` that nothing extends
GPL/DMG/src/dmg/java/mobiledevices/dmg/decmpfs/DecmpfsCompressionTypes.java	DecmpfsCompressionTypes	class	module	R7-statics-holder	hard	0	5 static field(s), no instance state and no instance methods
GPL/DMG/src/dmg/java/mobiledevices/dmg/decmpfs/DecmpfsConstants.java	DecmpfsConstants	class	module	R7-statics-holder	hard	0	3 static field(s), no instance state and no instance methods
GPL/DMG/src/dmg/java/mobiledevices/dmg/decmpfs/DecmpfsHeader.java	DecmpfsHeader	class	struct	R14a-concrete-leaf	hard	0	concrete Java `class` that nothing extends
GPL/DMG/src/dmg/java/mobiledevices/dmg/decmpfs/DecmpfsStates.java	DecmpfsStates	class	module	R7-statics-holder	hard	0	4 static field(s), no instance state and no instance methods
GPL/DMG/src/dmg/java/mobiledevices/dmg/ghidra/GBinaryReader.java	GBinaryReader	class	struct	R14a-concrete-leaf	hard	0	concrete Java `class` that nothing extends
GPL/DMG/src/dmg/java/mobiledevices/dmg/ghidra/GByteProvider.java	GByteProvider	class	struct	R14a-concrete-leaf	hard	0	concrete Java `class` that nothing extends
GPL/DMG/src/dmg/java/mobiledevices/dmg/ghidra/GConv.java	GConv	class	module	R7-statics-holder	hard	0	3 static field(s) and 12 static method(s), no instance state and no instance methods
GPL/DMG/src/dmg/java/mobiledevices/dmg/ghidra/GDataConverter.java	GDataConverter	interface	trait	R9-open-interface	hard	2	Java `interface` with 24 abstract method(s), 2 in-repo implementor(s)
GPL/DMG/src/dmg/java/mobiledevices/dmg/ghidra/GDataConverterBE.java	GDataConverterBE	class	struct	R14a-concrete-leaf	hard	0	concrete Java `class` that nothing extends
GPL/DMG/src/dmg/java/mobiledevices/dmg/ghidra/GDataConverterLE.java	GDataConverterLE	class	struct	R14a-concrete-leaf	hard	0	concrete Java `class` that nothing extends
GPL/DMG/src/dmg/java/mobiledevices/dmg/ghidra/GFileUtilityMethods.java	GFileUtilityMethods	class	module	R7-statics-holder	hard	0	2 static field(s) and 3 static method(s), no instance state and no instance methods
GPL/DMG/src/dmg/java/mobiledevices/dmg/ghidra/GRandomAccessFile.java	GRandomAccessFile	class	struct	R14a-concrete-leaf	hard	0	concrete Java `class` that nothing extends
GPL/DMG/src/dmg/java/mobiledevices/dmg/ghidra/GStringUtilities.java	GStringUtilities	class	module	R7-statics-holder	hard	0	3 static method(s), no instance state and no instance methods
GPL/DMG/src/dmg/java/mobiledevices/dmg/ghidra/GSystemUtilities.java	GSystemUtilities	class	module	R7-statics-holder	hard	0	1 static method(s), no instance state and no instance methods
GPL/DMG/src/dmg/java/mobiledevices/dmg/hfsplus/AttributesFileParser.java	AttributesFileParser	class	struct	R14a-concrete-leaf	hard	0	concrete Java `class` that nothing extends
GPL/DMG/src/dmg/java/mobiledevices/dmg/reader/DmgFileReader.java	DmgFileReader	class	struct	R14a-concrete-leaf	hard	0	concrete Java `class` that nothing extends
GPL/DMG/src/dmg/java/mobiledevices/dmg/reader/DmgInfoGenerator.java	DmgInfoGenerator	class	struct	R14a-concrete-leaf	hard	0	concrete Java `class` that nothing extends
GPL/DMG/src/dmg/java/mobiledevices/dmg/reader/DmgInputStream.java	DmgInputStream	class	struct	R14a-concrete-leaf	hard	0	concrete Java `class` that nothing extends
GPL/DMG/src/dmg/java/mobiledevices/dmg/server/DmgServer.java	DmgServer	class	module	R7-statics-holder	hard	0	7 static method(s), no instance state and no instance methods
GPL/DMG/src/dmg/java/mobiledevices/dmg/xattr/XattrConstants.java	XattrConstants	class	module	R7-statics-holder	hard	0	4 static field(s), no instance state and no instance methods
Ghidra/Debug/AnnotationValidator/src/main/java/ghidra/util/database/annotproc/AbstractDBAnnotationValidator.java	AbstractDBAnnotationValidator	class	struct_trait	R14c-concrete-small-hierarchy	hard	2	concrete Java `class` that 2 classes extend -- it is BOTH instantiable and a base, so the shared state needs a struct and the overridable behaviour a trait
Ghidra/Debug/AnnotationValidator/src/main/java/ghidra/util/database/annotproc/AccessSpec.java	AccessSpec	enum	enum	R1-java-enum	hard	0	Java `enum` with 4 constants
Ghidra/Debug/AnnotationValidator/src/main/java/ghidra/util/database/annotproc/DBAnnotatedColumnValidator.java	DBAnnotatedColumnValidator	class	struct	R14a-concrete-leaf	hard	0	concrete Java `class` that nothing extends
Ghidra/Debug/AnnotationValidator/src/main/java/ghidra/util/database/annotproc/DBAnnotatedFieldValidator.java	DBAnnotatedFieldValidator	class	struct	R14a-concrete-leaf	hard	0	concrete Java `class` that nothing extends
Ghidra/Debug/AnnotationValidator/src/main/java/ghidra/util/database/annotproc/DBAnnotatedObjectProcessor.java	DBAnnotatedObjectProcessor	class	struct	R14a-concrete-leaf	hard	0	concrete Java `class` that nothing extends
Ghidra/Debug/AnnotationValidator/src/main/java/ghidra/util/database/annotproc/DBAnnotatedObjectValidator.java	DBAnnotatedObjectValidator	class	struct	R14a-concrete-leaf	hard	0	concrete Java `class` that nothing extends
Ghidra/Debug/AnnotationValidator/src/main/java/ghidra/util/database/annotproc/ValidationContext.java	ValidationContext	class	struct	R14a-concrete-leaf	hard	0	concrete Java `class` that nothing extends
Ghidra/Debug/Debugger-api/src/main/java/ghidra/app/services/DebuggerAutoMappingService.java	DebuggerAutoMappingService	interface	trait	R9-open-interface	hard	1	Java `interface` with 3 abstract method(s), 1 in-repo implementor(s)
Ghidra/Debug/Debugger-api/src/main/java/ghidra/app/services/DebuggerConsoleService.java	DebuggerConsoleService	interface	trait	R9-open-interface	hard	1	Java `interface` with 9 abstract method(s), 1 in-repo implementor(s)
Ghidra/Debug/Debugger-api/src/main/java/ghidra/app/services/DebuggerControlService.java	DebuggerControlService	interface	trait	R9-open-interface	hard	1	Java `interface` with 7 abstract method(s), 1 in-repo implementor(s)
Ghidra/Debug/Debugger-api/src/main/java/ghidra/app/services/DebuggerEmulationService.java	DebuggerEmulationService	interface	trait	R9-open-interface	hard	1	Java `interface` with 14 abstract method(s), 1 in-repo implementor(s)
Ghidra/Debug/Debugger-api/src/main/java/ghidra/app/services/DebuggerListingService.java	DebuggerListingService	interface	trait	R9-open-interface	hard	1	Java `interface` with 13 abstract method(s), 1 in-repo implementor(s)
