class	rust_is	should_be	rule	java_kind	location	why
AIFFDataType	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/aiff_data_type.rs:96	concrete Java `class` (0 in-repo subclass(es))
AbstractAssemblyGrammar	trait	iterator	R6b-bare-iterable	class/abstract	ghidra-rs/src/app/plugin/assembler/sleigh/grammars/abstract_assembly_grammar.rs:67	extends Iterable and declares no other API (1 abstract method(s))
AddrSpace	trait	struct	R14-concrete-class	class	ghidra-rs/src/decompiler/space/addr_space.rs:51	concrete Java `class` (3 in-repo subclass(es))
AddressFieldLocation	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/util/address_field_location.rs:24	concrete Java `class` (0 in-repo subclass(es))
AddressIteratorConverter	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/util/address_iterator_converter.rs:29	concrete Java `class` (0 in-repo subclass(es))
AddressRangeIterator	trait	iterator	R6a-cursor	interface	ghidra-rs/src/program/model/address/iterator.rs:69	extends Iterator
AddressSourceInfo	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/database/mem/address_source_info.rs:29	concrete Java `class` (0 in-repo subclass(es))
AddressSpace	struct	trait	R9-open-interface	interface	ghidra-rs/src/program/model/address/mod.rs:83	Java `interface` with 48 abstract method(s), 1 in-repo implementor(s)
AlignedStructurePacker	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/aligned_structure_packer.rs:78	concrete Java `class` (1 in-repo subclass(es))
Application	trait	struct	R14-concrete-class	class	ghidra-rs/src/framework/application.rs:93	concrete Java `class` (0 in-repo subclass(es))
ApplicationIdentifier	trait	struct	R14-concrete-class	class	ghidra-rs/src/framework/application_identifier.rs:32	concrete Java `class` (0 in-repo subclass(es))
ApplicationProperties	trait	struct	R14-concrete-class	class	ghidra-rs/src/framework/application_properties.rs:77	concrete Java `class` (0 in-repo subclass(es))
AssemblyExtendedGrammar	trait	struct	R14-concrete-class	class	ghidra-rs/src/app/plugin/assembler/sleigh/grammars/assembly_extended_grammar.rs:29	concrete Java `class` (0 in-repo subclass(es))
AssemblyExtendedNonTerminal	trait	struct	R14-concrete-class	class	ghidra-rs/src/app/plugin/assembler/sleigh/symbol/assembly_extended_non_terminal.rs:27	concrete Java `class` (0 in-repo subclass(es))
AssemblyFixedNumericTerminal	trait	struct	R14-concrete-class	class	ghidra-rs/src/app/plugin/assembler/sleigh/symbol/assembly_fixed_numeric_terminal.rs:67	concrete Java `class` (0 in-repo subclass(es))
