status	pairing	importers	stubs	class	manifest	java_classes	real_path	stub_paths
TODO	unique	28	1	Scope	DONE	Framework/Emulation:ghidra/pcode/emu/jit/gen/util/Scope.java	src/program/model/pcode/high_function.rs	src/pcode/seam_stubs.rs
TODO	unique	20	1	RefType	DONE	Framework/SoftwareModeling:ghidra/program/model/symbol/RefType.java	src/program/model/symbol/ref_type.rs	src/program/seam_stubs.rs
TODO	unique	20	1	Reference	DONE	Framework/SoftwareModeling:ghidra/program/model/symbol/Reference.java	src/program/model/symbol/reference.rs	src/program/seam_stubs.rs
TODO	unique	18	1	XmlPullParser	DONE	Framework/Utility:ghidra/xml/XmlPullParser.java	src/util/xml/xml_pull_parser.rs	src/util/seam_stubs.rs
TODO	unique	17	1	CodeUnitComments	DONE	Framework/SoftwareModeling:ghidra/program/model/listing/CodeUnitComments.java	src/program/model/listing/code_unit_comments.rs	src/program/seam_stubs.rs
TODO	unique	17	1	CommentHistory	DONE	Framework/SoftwareModeling:ghidra/program/model/listing/CommentHistory.java	src/program/model/listing/comment_history.rs	src/program/seam_stubs.rs
TODO	unique	13	1	HighSymbol	DONE	Framework/SoftwareModeling:ghidra/program/model/pcode/HighSymbol.java	src/program/model/pcode/high_symbol.rs	src/program/seam_stubs.rs
TODO	unique	11	3	ToolOptions	TODO	Framework/Gui:ghidra/framework/options/ToolOptions.java	src/app/plugin/core/analysis/auto_analysis_plugin.rs	src/framework/seam_stubs.rs;src/app/seam_stubs.rs;src/feature/seam_stubs.rs
TODO	unique	11	2	Target	TODO	Debug/Debugger-api:ghidra/debug/api/target/Target.java	src/generic/depends/dependent_service_resolver.rs	src/debug/seam_stubs.rs;src/app/seam_stubs.rs
TODO	unique	8	1	ParserContext	DONE	Framework/SoftwareModeling:ghidra/program/model/lang/ParserContext.java	src/program/model/lang/parser_context.rs	src/program/seam_stubs.rs
TODO	unique	7	1	LSHVector	DONE	Framework/Generic:generic/lsh/vector/LSHVector.java	src/generic/lsh/vector/lsh_vector.rs	src/feature/seam_stubs.rs
TODO	unique	7	1	WeightFactory	DONE	Framework/Generic:generic/lsh/vector/WeightFactory.java	src/generic/lsh/vector/weight_factory.rs	src/feature/seam_stubs.rs
TODO	unique	6	1	FsrlLike	-	-	src/filesystem/gfilesystem/g_file_impl.rs	src/filesystem/seam_stubs.rs
TODO	unique	6	1	GenericCallingConvention	DONE	Framework/SoftwareModeling:ghidra/program/model/data/GenericCallingConvention.java	src/program/model/data/generic_calling_convention.rs	src/program/seam_stubs.rs
TODO	unique	5	4	Color	-	-	src/app/plugin/core/overview/entropy/knot_record.rs	src/framework/seam_stubs.rs;src/generic/seam_stubs.rs;src/app/seam_stubs.rs;src/docking/seam_stubs.rs
TODO	unique	5	1	DataTypePath	DONE	Framework/SoftwareModeling:ghidra/program/model/data/DataTypePath.java	src/program/model/data/data_type_path.rs	src/app/seam_stubs.rs
TODO	unique	5	1	Dimension	DONE	Debug/ProposedUtils:ghidra/util/database/spatial/hyper/Dimension.java	src/graph/visualization/jgt_tidier_tree_layout_algorithm.rs	src/util/seam_stubs.rs
TODO	unique	5	1	Program	DONE	Framework/SoftwareModeling:ghidra/program/model/listing/Program.java	src/program/model/listing/program.rs	src/format/seam_stubs.rs
TODO	unique	5	1	Transaction	TODO	Framework/DB:db/Transaction.java	src/program/database/symbol/equate_store.rs	src/program/seam_stubs.rs
TODO	unique	4	1	Architecture	TODO	Framework/Generic:ghidra/framework/Architecture.java	src/feature/bsim/query/client/id_sql_resolution.rs	src/framework/seam_stubs.rs
TODO	unique	4	1	Label	DONE	Framework/SoftwareModeling:ghidra/app/plugin/processors/generic/Label.java	src/app/plugin/processors/generic/label.rs	src/pcode/seam_stubs.rs
TODO	unique	4	1	ToolChest	DONE	Framework/Project:ghidra/framework/model/ToolChest.java	src/framework/model/tool_chest.rs	src/framework/seam_stubs.rs
TODO	unique	3	2	Icon	-	-	src/program/model/data/playable.rs	src/generic/seam_stubs.rs;src/docking/seam_stubs.rs
TODO	unique	3	1	BytesPcodeExecutorStatePiece	DONE	Framework/Emulation:ghidra/pcode/exec/BytesPcodeExecutorStatePiece.java	src/pcode/exec/bytes_pcode_executor_state_piece.rs	src/pcode/seam_stubs.rs
TODO	unique	3	1	LongKeyNode	DONE	Framework/DB:db/LongKeyNode.java	src/framework/db/nodes/long_key_node.rs	src/framework/seam_stubs.rs
TODO	unique	3	1	MemoryByteProvider	TODO	Features/Base:ghidra/app/util/bin/MemoryByteProvider.java	src/file/formats/ios/dyldcache/dyld_cache_file_system.rs	src/format/seam_stubs.rs
TODO	unique	3	1	ProgramLocation	DONE	Framework/SoftwareModeling:ghidra/program/util/ProgramLocation.java	src/program/util/program_location.rs	src/feature/seam_stubs.rs
TODO	unique	3	1	ResourceFile	DONE	Framework/Utility:generic/jar/ResourceFile.java	src/generic/jar/resource_file.rs	src/util/seam_stubs.rs
TODO	unique	2	1	BitFieldDataType	TODO	Framework/SoftwareModeling:ghidra/program/model/data/BitFieldDataType.java	src/program/model/data/parameter_definition_impl.rs	src/program/seam_stubs.rs
TODO	unique	2	1	PointerType	DONE	Framework/SoftwareModeling:ghidra/program/model/data/PointerType.java	src/program/model/data/pointer_type.rs	src/program/seam_stubs.rs
TODO	unique	1	1	AbstractStringDataType	DONE	Framework/SoftwareModeling:ghidra/program/model/data/AbstractStringDataType.java	src/program/model/data/abstract_string_data_type.rs	src/util/seam_stubs.rs
TODO	unique	1	1	ActionContext	DONE	Framework/Docking:docking/ActionContext.java	src/docking/action_context.rs	src/debug/seam_stubs.rs
TODO	unique	1	1	AddrRange	-	-	src/file/formats/ios/dyldcache/dyld_cache_file_system.rs	src/app/seam_stubs.rs
TODO	unique	1	1	Category	DONE	Framework/SoftwareModeling:ghidra/program/model/data/Category.java	src/program/model/data/category.rs	src/app/seam_stubs.rs
TODO	unique	1	1	CategoryPath	DONE	Framework/SoftwareModeling:ghidra/program/model/data/CategoryPath.java	src/program/model/data/category_path.rs	src/app/seam_stubs.rs
TODO	unique	1	1	DataTypeManager	DONE	Framework/SoftwareModeling:ghidra/program/model/data/DataTypeManager.java	src/program/model/data/data_type_manager.rs	src/app/seam_stubs.rs
TODO	unique	1	1	DescriptionManager	DONE	Features/BSim:ghidra/features/bsim/query/description/DescriptionManager.java	src/feature/bsim/query/description/description_manager.rs	src/feature/seam_stubs.rs
TODO	unique	1	1	DynamicEntry	DONE	Framework/SoftwareModeling:ghidra/program/model/pcode/DynamicEntry.java	src/program/model/pcode/dynamic_entry.rs	src/program/seam_stubs.rs
TODO	unique	1	1	FunctionSignature	DONE	Framework/SoftwareModeling:ghidra/program/model/listing/FunctionSignature.java	src/program/model/listing/function_signature.rs	src/format/seam_stubs.rs
