status	unblk	rem	kind	module	path
TODO	42	1	interface	app	Ghidra/Features/Base/src/main/java/ghidra/app/util/recognizer/Recognizer.java
TODO	41	2	class	util	Ghidra/Framework/Utility/src/main/java/ghidra/util/Msg.java
TODO	10	1	interface	util	Ghidra/Framework/Generic/src/main/java/ghidra/util/classfinder/ExtensionPoint.java
TODO	10	3	class	format	Ghidra/Features/PDB/src/main/java/ghidra/app/util/bin/format/pdb2/pdbreader/PdbByteReader.java
TODO	8	2	class	docking	Ghidra/Framework/Docking/src/main/java/docking/DefaultActionContext.java
TODO	8	2	interface	trace	Ghidra/Debug/Framework-TraceModeling/src/main/java/ghidra/trace/model/target/iface/TraceObjectInterface.java
TODO	8	2	class	util	Ghidra/Features/Base/src/main/java/ghidra/util/table/field/ProgramBasedDynamicTableColumnExtensionPoint.java
TODO	8	3	class	framework	Ghidra/Framework/DB/src/main/java/db/DBRecord.java
TODO	7	1	class	util	Ghidra/Framework/Generic/src/main/java/ghidra/util/NumericUtilities.java
TODO	7	1	class	util	Ghidra/Framework/Generic/src/main/java/ghidra/util/StringUtilities.java
TODO	7	4	class	generic	Ghidra/Framework/Utility/src/main/java/generic/jar/ResourceFile.java
TODO	7	4	class	docking	Ghidra/Framework/Docking/src/main/java/docking/widgets/table/constraint/ColumnTypeMapper.java
TODO	6	3	class	util	Ghidra/Framework/Utility/src/main/java/ghidra/util/SystemUtilities.java
TODO	6	2	class	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/util/FunctionSignatureFieldLocation.java
TODO	5	1	class	graph	Ghidra/Features/Base/src/main/java/ghidra/graph/ProgramGraphType.java
TODO	5	1	class	generic	Ghidra/Framework/Generic/src/main/java/generic/stl/Pair.java
TODO	5	0	class	docking	Ghidra/Framework/Docking/src/main/java/docking/menu/keys/MenuKeyHandler.java
TODO	4	1	class	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/lang/RegisterValue.java
TODO	4	1	class	framework	Ghidra/Framework/Generic/src/main/java/ghidra/framework/options/SaveState.java
TODO	4	3	class	docking	Ghidra/Framework/Docking/src/main/java/docking/widgets/search/SearchLocationContext.java
TODO	4	1	class	program	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/lang/Processor.java
TODO	4	1	class	feature	Ghidra/Features/Base/src/main/java/ghidra/features/base/memsearch/matcher/SearchData.java
TODO	4	3	interface	app	Ghidra/Features/ByteViewer/src/main/java/ghidra/app/plugin/core/format/DataFormatModel.java
TODO	4	2	class	util	Ghidra/Framework/Generic/src/main/java/ghidra/util/datastruct/LRUMap.java
TODO	4	2	interface	docking	Ghidra/Framework/Docking/src/main/java/docking/widgets/table/RowObjectTableModel.java
TODO	4	1	interface	graph	Ghidra/Framework/Graph/src/main/java/ghidra/graph/GDirectedGraph.java
TODO	4	3	interface	pty	Ghidra/Framework/Pty/src/main/java/ghidra/pty/unix/PosixC.java
TODO	3	3	interface	docking	Ghidra/Framework/Docking/src/main/java/docking/widgets/table/DynamicTableColumn.java
TODO	3	2	interface	trace	Ghidra/Debug/Framework-TraceModeling/src/main/java/ghidra/trace/model/program/TraceProgramView.java
TODO	3	1	interface	generic	Ghidra/Framework/Emulation/src/main/java/generic/Span.java
TODO	3	1	class	generic	Ghidra/Framework/Generic/src/main/java/generic/util/PeekableIterators.java
